"","id_acidente","codloga","logradouroA","codlogb","logradouroB","alt_num","referencia","data","cod_acid","tipo_acidente","dp","numero_BO","sentido","pista","automovel","moto","onibus","caminhao","bicicleta","moto_taxi","onibus_fretado","onibus_urbano","microonibus","van","vuc","caminhonete","carreta","jipe","outros","sem_informacao","carroca","princ_a","paiA","princ_b","paiB","cod_distrito","distrito","vit_ferida","vit_morta","local","lat","lon"
"1","D011301590",17824,"SAPOPEMBA, AV",NA,"",17765,"","01/01/2013 00:30",2,"CO",55,5," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17824,"SAPOPEMBA, AV",NA,"",33,"IPIRANGA",2,0,"SAPOPEMBA, AV 17765 SAO PAULO SP",-23.62181,-46.4513234
"2","D011301715",8438,"GUAVIRUTUBA, ES",NA,"",1356,"","01/01/2013 00:50",2,"CF",11,352," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8438,"GUAVIRUTUBA, ES",NA,"",42,"JARDIM ANGELA",0,1,"GUAVIRUTUBA, ES 1356 SAO PAULO SP",-23.5505199,-46.6333094
"3","D011300519",65051,"FRANCISCO DA CUNHA MENEZES, RUA",NA,"",751,"","01/01/2013 01:00",2,"CF",46,3," "," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65051,"FRANCISCO DA CUNHA MENEZES, RUA",NA,"",52,"MARSILAC",1,0,"FRANCISCO DA CUNHA MENEZES, RUA 751 SAO PAULO SP",-23.4431252,-46.7433195
"4","D011301313",25151,"GILBERTO FREYRE, RUA",NA,"",54,"","01/01/2013 01:17",4,"AT",101,6," "," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25151,"GILBERTO FREYRE, RUA",NA,"",32,"IGUATEMI",1,0,"GILBERTO FREYRE, RUA 54 SAO PAULO SP",-23.7448799,-46.6740725
"5","D011301187",25252,"TRES CORACOES, RUA",NA,"",479,"","01/01/2013 01:33",4,"AT",85,5," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25252,"TRES CORACOES, RUA",NA,"",32,"IGUATEMI",1,0,"TRES CORACOES, RUA 479 SAO PAULO SP",-23.773029,-46.6766737
"6","D011301140",9529,"ITAPECERICA, ES DE",NA,"",8100,"","01/01/2013 01:49",2,"SI",47,6," "," ",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9529,"ITAPECERICA, ES DE",NA,"",29,"FREGUESIA DO O",3,0,"ITAPECERICA, ES DE 8100 SAO PAULO SP",-23.5505199,-46.6333094
"7","D011301610",9580,"ITAQUERA, AV",NA,"",4118,"","01/01/2013 03:00",2,"CH",66,7," "," ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580,"ITAQUERA, AV",NA,"",24,"CIDADE LIDER",2,0,"ITAQUERA, AV 4118 SAO PAULO SP",-23.5537352,-46.4804813
"8","D011301357",2396,"ASCENSO FERNANDES, RUA",NA,"",613,"","01/01/2013 03:30",2,"CO",22,510," "," ",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2396,"ASCENSO FERNANDES, RUA",NA,"",43,"JARDIM HELENA",1,0,"ASCENSO FERNANDES, RUA 613 SAO PAULO SP",-23.482632,-46.4236849
"10","D011301731",6350,"JOAO LANHOSO, RUA",NA,"",53,"","01/01/2013 04:50",4,"AT",95,4," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6350,"JOAO LANHOSO, RUA",NA,"",69,"SACOMA",1,1,"JOAO LANHOSO, RUA 53 SAO PAULO SP",-23.6171993,-46.5852056
"11","D011301666",8818,"HONORATO DAS NEVES, RUA",NA,"",218,"","01/01/2013 06:30",2,"CF",74,13,"C"," ",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818,"HONORATO DAS NEVES, RUA",NA,"",40,"JAGUARE",1,1,"HONORATO DAS NEVES, RUA 218 SAO PAULO SP",-23.4573166,-46.7023729
"12","D011301088",10270,"JOAO DIAS, AV",NA,"",2054,"","01/01/2013 06:50",2,"CH",11,10," "," ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10270,"JOAO DIAS, AV",NA,"",72,"SANTO AMARO",2,0,"JOAO DIAS, AV 2054 SAO PAULO SP",-23.6446887,-46.7202392
"13","D011300565",68371,"JULIANTE VIGNA, RUA",NA,"",100,"","01/01/2013 07:00",2,"QM",75,7," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68371,"JULIANTE VIGNA, RUA",NA,"",13,"CACHOEIRINHA",1,0,"JULIANTE VIGNA, RUA 100 SAO PAULO SP",-23.5951529,-46.7877789
"14","D011300460",14267,"MORUMBI, AV",NA,"",7010,"","01/01/2013 07:30",2,"QM",34,3," "," ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14267,"MORUMBI, AV",NA,"",55,"MORUMBI",2,0,"MORUMBI, AV 7010 SAO PAULO SP",-23.6180545,-46.7028232
"15","D011300249",35829,"MOREIRA GUIMARAES, AV",14050,"MIRUNA, AV",0,"","01/01/2013 09:51",2,"CO",27,14," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14050,"MIRUNA, AV",35829,"MOREIRA GUIMARAES, AV",53,"MOEMA",1,0,"MOREIRA GUIMARAES, AV SAO PAULO SP &  MIRUNA, AV SAO PAULO SP",-23.6112321,-46.6554476
"16","D011301414",2185,"ARICANGA, RUA",NA,"",200,"","01/01/2013 11:01",2,"CH",59,5," "," ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2185,"ARICANGA, RUA",NA,"",86,"VILA CURUCA",1,0,"ARICANGA, RUA 200 SAO PAULO SP",-23.497603,-46.4112478
"17","D011300564",1363,"JORGE WARD, RUA",13019,"ESCOLA POLITECNICA, AV",0,"","01/01/2013 11:30",2,"CO",51,900003," "," ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,"JORGE WARD, RUA",22165,"PABLO CASALS, AV",45,"JARDIM SAO LUIS",1,0,"JORGE WARD, RUA SAO PAULO SP &  ESCOLA POLITECNICA, AV SAO PAULO SP",-23.5679527,-46.7589041
