,id_acidente,codloga,logradouroA,codlogb,logradouroB,alt_num,referencia,data,cod_acid,tipo_acidente,dp,numero_BO,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,princ_a,paiA,princ_b,paiB,cod_distrito,distrito,vit_ferida,vit_morta,local,lat,lon,loc/type,loc/coordinates/0,loc/coordinates/1
1849,D021300194,3581,"BRASIL, AV",NA,,1612,,03/02/2013 12:20,2,CO,78,916, , ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,"BRASIL, AV",NA,,63,PINHEIROS,1,0,"BRASIL, AV 1612 SAO PAULO SP",-23.5609772,-46.6568371,Point,-46.6568371,-23.5609772
3413,D021300210,15656,"PAULISTA, AV",NA,,1682,,27/02/2013 18:00,4,AT,78,1589, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,1,0,"PAULISTA, AV 1682 SAO PAULO SP",-23.5608318,-46.6567866,Point,-46.6567866,-23.5608318
11750,D061300079,15206,"OTAVIO MENDES, RUA PROF",NA,,36,,20/06/2013 15:00,4,AT,4,4293, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15206,"OTAVIO MENDES, RUA PROF",NA,,17,CAMPO LIMPO,1,0,"OTAVIO MENDES, RUA PROF 36 SAO PAULO SP",-23.5615269,-46.655418,Point,-46.655418,-23.5615269
7791,D041300300,15656,"PAULISTA, AV",NA,,1708,,27/04/2013 06:40,4,AT,78,3403, , ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,1,0,"PAULISTA, AV 1708 SAO PAULO SP",-23.5605993,-46.6571019,Point,-46.6571019,-23.5605993
530,D011300607,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,1500,,11/01/2013 23:00,2,CT,89,274, , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,40,JAGUARE,1,0,"MARGINAL DO RIO PINHEIROS, AV 1500 SAO PAULO SP",-23.5621218,-46.6553275,Point,-46.6553275,-23.5621218
4621,D031300918,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,1500,,15/03/2013 08:20,2,CO,89,1492, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,40,JAGUARE,1,0,"MARGINAL DO RIO PINHEIROS, AV 1500 SAO PAULO SP",-23.5621218,-46.6553275,Point,-46.6553275,-23.5621218
6720,D041300107,15656,"PAULISTA, AV",NA,,1500,,12/04/2013 11:37,2,SI,4,2962, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,1,0,"PAULISTA, AV 1500 SAO PAULO SP",-23.5621218,-46.6553275,Point,-46.6553275,-23.5621218
8637,D051300258,3581,"BRASIL, AV",NA,,1500,,08/05/2013 20:28,2,QM,78,3851, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3581,"BRASIL, AV",NA,,63,PINHEIROS,1,0,"BRASIL, AV 1500 SAO PAULO SP",-23.5621218,-46.6553275,Point,-46.6553275,-23.5621218
10697,D061300209,15656,"PAULISTA, AV",NA,,1500,,06/06/2013 16:26,4,AT,78,4873, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15656,"PAULISTA, AV",NA,,7,BELA VISTA,2,0,"PAULISTA, AV 1500 SAO PAULO SP",-23.5621218,-46.6553275,Point,-46.6553275,-23.5621218
250,D011300602,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,15000,,07/01/2013 13:55,2,CT,89,137, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13014,"MARGINAL DO RIO PINHEIROS, AV",NA,,40,JAGUARE,2,0,"MARGINAL DO RIO PINHEIROS, AV 15000 SAO PAULO SP",-23.5604208,-46.6574734,Point,-46.6574734,-23.5604208
